base_index,base_tourney_name,base_slug,year,tourney_name,tourney_slug,tourney_url,results_url,archive_url
15,Auckland,auckland,1991.0,ATP Auckland 1991,auckland-1991,https://www.flashscore.com/tennis/atp-singles/auckland-1991/,https://www.flashscore.com/tennis/atp-singles/auckland-1991/results/,https://www.flashscore.com/tennis/atp-singles/auckland/archive/
16,Australian Open,australian-open,1991.0,ATP Australian Open 1991,australian-open-1991,https://www.flashscore.com/tennis/atp-singles/australian-open-1991/,https://www.flashscore.com/tennis/atp-singles/australian-open-1991/results/,https://www.flashscore.com/tennis/atp-singles/australian-open/archive/
19,Barcelona,barcelona,1991.0,ATP Barcelona 1991,barcelona-1991,https://www.flashscore.com/tennis/atp-singles/barcelona-1991/,https://www.flashscore.com/tennis/atp-singles/barcelona-1991/results/,https://www.flashscore.com/tennis/atp-singles/barcelona/archive/
20,Basel,basel,1991.0,ATP Basel 1991,basel-1991,https://www.flashscore.com/tennis/atp-singles/basel-1991/,https://www.flashscore.com/tennis/atp-singles/basel-1991/results/,https://www.flashscore.com/tennis/atp-singles/basel/archive/
21,Bastad,bastad,1991.0,ATP Bastad 1991,bastad-1991,https://www.flashscore.com/tennis/atp-singles/bastad-1991/,https://www.flashscore.com/tennis/atp-singles/bastad-1991/results/,https://www.flashscore.com/tennis/atp-singles/bastad/archive/
29,Bologna,bologna,1991.0,ATP Bologna 1991,bologna-1991,https://www.flashscore.com/tennis/atp-singles/bologna-1991/,https://www.flashscore.com/tennis/atp-singles/bologna-1991/results/,https://www.flashscore.com/tennis/atp-singles/bologna/archive/
31,Bordeaux,bordeaux,1991.0,ATP Bordeaux 1991,bordeaux-1991,https://www.flashscore.com/tennis/atp-singles/bordeaux-1991/,https://www.flashscore.com/tennis/atp-singles/bordeaux-1991/results/,https://www.flashscore.com/tennis/atp-singles/bordeaux/archive/
35,Brisbane,brisbane,1991.0,ATP Brisbane 1991,brisbane-1991,https://www.flashscore.com/tennis/atp-singles/brisbane-1991/,https://www.flashscore.com/tennis/atp-singles/brisbane-1991/results/,https://www.flashscore.com/tennis/atp-singles/brisbane/archive/
37,Brussels (DIC),brussels-dic,1991.0,ATP Brussels (DIC) 1991,brussels-dic-1991,https://www.flashscore.com/tennis/atp-singles/brussels-dic-1991/,https://www.flashscore.com/tennis/atp-singles/brussels-dic-1991/results/,https://www.flashscore.com/tennis/atp-singles/brussels-dic/archive/
41,Buzios,buzios,1991.0,ATP Buzios 1991,buzios-1991,https://www.flashscore.com/tennis/atp-singles/buzios-1991/,https://www.flashscore.com/tennis/atp-singles/buzios-1991/results/,https://www.flashscore.com/tennis/atp-singles/buzios/archive/
47,Cincinnati,cincinnati,1991.0,ATP Cincinnati 1991,cincinnati-1991,https://www.flashscore.com/tennis/atp-singles/cincinnati-1991/,https://www.flashscore.com/tennis/atp-singles/cincinnati-1991/results/,https://www.flashscore.com/tennis/atp-singles/cincinnati/archive/
50,Copenhagen,copenhagen,1991.0,ATP Copenhagen 1991,copenhagen-1991,https://www.flashscore.com/tennis/atp-singles/copenhagen-1991/,https://www.flashscore.com/tennis/atp-singles/copenhagen-1991/results/,https://www.flashscore.com/tennis/atp-singles/copenhagen/archive/
68,Estoril,estoril,1991.0,ATP Estoril 1991,estoril-1991,https://www.flashscore.com/tennis/atp-singles/estoril-1991/,https://www.flashscore.com/tennis/atp-singles/estoril-1991/results/,https://www.flashscore.com/tennis/atp-singles/estoril/archive/
69,Finals - Turin,finals-turin,1991.0,ATP World Tour Finals - Frankfurt 1991,finals-turin-1991,https://www.flashscore.com/tennis/atp-singles/finals-turin-1991/,https://www.flashscore.com/tennis/atp-singles/finals-turin-1991/results/,https://www.flashscore.com/tennis/atp-singles/finals-turin/archive/
70,Florence,florence,1991.0,ATP Florence 1991,florence-1991,https://www.flashscore.com/tennis/atp-singles/florence-1991/,https://www.flashscore.com/tennis/atp-singles/florence-1991/results/,https://www.flashscore.com/tennis/atp-singles/florence/archive/
71,French Open,french-open,1991.0,ATP French Open 1991,french-open-1991,https://www.flashscore.com/tennis/atp-singles/french-open-1991/,https://www.flashscore.com/tennis/atp-singles/french-open-1991/results/,https://www.flashscore.com/tennis/atp-singles/french-open/archive/
72,Geneva,geneva,1991.0,ATP Geneva 1991,geneva-1991,https://www.flashscore.com/tennis/atp-singles/geneva-1991/,https://www.flashscore.com/tennis/atp-singles/geneva-1991/results/,https://www.flashscore.com/tennis/atp-singles/geneva/archive/
73,Genoa,genoa,1991.0,ATP Genoa 1991,genoa-1991,https://www.flashscore.com/tennis/atp-singles/genoa-1991/,https://www.flashscore.com/tennis/atp-singles/genoa-1991/results/,https://www.flashscore.com/tennis/atp-singles/genoa/archive/
75,Grand Slam Cup,grand-slam-cup,1991.0,ATP Grand Slam Cup 1991,grand-slam-cup-1991,https://www.flashscore.com/tennis/atp-singles/grand-slam-cup-1991/,https://www.flashscore.com/tennis/atp-singles/grand-slam-cup-1991/results/,https://www.flashscore.com/tennis/atp-singles/grand-slam-cup/archive/
76,Gstaad,gstaad,1991.0,ATP Gstaad 1991,gstaad-1991,https://www.flashscore.com/tennis/atp-singles/gstaad-1991/,https://www.flashscore.com/tennis/atp-singles/gstaad-1991/results/,https://www.flashscore.com/tennis/atp-singles/gstaad/archive/
77,Guaruja,guaruja,1991.0,ATP Guaruja 1991,guaruja-1991,https://www.flashscore.com/tennis/atp-singles/guaruja-1991/,https://www.flashscore.com/tennis/atp-singles/guaruja-1991/results/,https://www.flashscore.com/tennis/atp-singles/guaruja/archive/
79,Hamburg,hamburg,1991.0,ATP Hamburg 1991,hamburg-1991,https://www.flashscore.com/tennis/atp-singles/hamburg-1991/,https://www.flashscore.com/tennis/atp-singles/hamburg-1991/results/,https://www.flashscore.com/tennis/atp-singles/hamburg/archive/
81,Hertogenbosch,hertogenbosch,1991.0,ATP Rosmalen 1991,hertogenbosch-1991,https://www.flashscore.com/tennis/atp-singles/hertogenbosch-1991/,https://www.flashscore.com/tennis/atp-singles/hertogenbosch-1991/results/,https://www.flashscore.com/tennis/atp-singles/hertogenbosch/archive/
83,Hong Kong,hong-kong,1991.0,ATP Hong Kong 1991,hong-kong-1991,https://www.flashscore.com/tennis/atp-singles/hong-kong-1991/,https://www.flashscore.com/tennis/atp-singles/hong-kong-1991/results/,https://www.flashscore.com/tennis/atp-singles/hong-kong/archive/
85,Houston,houston,1991.0,ATP Charlotte 1991,houston-1991,https://www.flashscore.com/tennis/atp-singles/houston-1991/,https://www.flashscore.com/tennis/atp-singles/houston-1991/results/,https://www.flashscore.com/tennis/atp-singles/houston/archive/
86,Indian Wells,indian-wells,1991.0,ATP Indian Wells 1991,indian-wells-1991,https://www.flashscore.com/tennis/atp-singles/indian-wells-1991/,https://www.flashscore.com/tennis/atp-singles/indian-wells-1991/results/,https://www.flashscore.com/tennis/atp-singles/indian-wells/archive/
87,Indianapolis,indianapolis,1991.0,ATP Indianapolis 1991,indianapolis-1991,https://www.flashscore.com/tennis/atp-singles/indianapolis-1991/,https://www.flashscore.com/tennis/atp-singles/indianapolis-1991/results/,https://www.flashscore.com/tennis/atp-singles/indianapolis/archive/
